Date,Closing,Emotion
2020-04-06,262.47000099999997,0.00
2020-04-07,259.429993,0.50
2020-04-08,266.070007,0.32
2020-04-09,267.98999,0.54
2020-04-13,273.25,0.56
2020-04-14,287.049988,1.36
2020-04-15,284.429993,0.30
2020-04-16,286.690002,0.43
2020-04-17,282.799988,0.26
2020-04-20,276.929993,2.21
2020-04-21,268.369995,0.18
2020-04-22,276.100006,0.31
2020-04-23,275.02999900000003,0.93
2020-04-24,282.97000099999997,-0.79
2020-04-27,283.170013,-0.79
2020-04-28,278.579987,0.88
2020-04-29,287.730011,0.35
2020-04-30,293.799988,0.63
2020-05-01,289.070007,1.05
2020-05-04,293.16,2.43
2020-05-05,297.56,0.86
2020-05-06,300.63,-0.59
2020-05-07,303.74,0.69
2020-05-08,310.13,0.59
2020-05-11,315.01,1.33
2020-05-12,311.41,1.02
2020-05-13,307.65,-0.34
2020-05-14,309.54,-1.10
2020-05-15,307.71,0.67
2020-05-18,314.96,-0.89
2020-05-19,313.59,0.93
2020-05-20,319.23,-0.87
2020-05-21,316.85,0.97
2020-05-22,318.89,1.79
2020-05-26,316.73,3.45
2020-05-27,318.11,1.52
2020-05-28,318.25,2.27
2020-05-29,317.94,1.87
2020-06-01,321.85,-1.97
2020-06-02,323.34,1.67
2020-06-03,325.12,-1.45
2020-06-04,321.34,1.64
